video_title,author,comment,video_likes
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Primate_Change,"This was a really cool video, and everyone having fun. Really put a smile on my dial.  Props to everyone !",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@enrique5565,"Xiaoma you’re looking a lot healthier these days bro, thank you for the video, it was entertaining as per usual ",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@stephenedlin3246,"At the start it was embarrassing, but then it showed the kindness and good humour of all races.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@jessejordan1873,Your best interactions I’ve seen with others so far!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Apokkalypto,"HAHAHAH 6:33 
""How did you get this strong?!""
""I trained allll daaayy yesterday.""",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@vitorh3568,Very nice! And specially how everyone is so friendly. This was a pleasant watch.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@FrOzTiMaN,"More of these kinds of videos, please — they’re really entertaining!!!!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@johnhudec,"Love it. I do similar when visiting some European countries. Apart from English, I speak two other languages. It saved me once from couple drunk solder's that wanted to mug us, they didn't know I understood what they were saying and planning.  Another time the custom border guards tried to rip us off because I only spoke English and was from Australia.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@alan-cl1rj,I love these types of videos!!!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Martinez3566,New format. I love it.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@benisrood,"Ari, you are looking really healthy these days, great job.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@MrTommyemmanuel,There is another in New York State that does this and goes to the places. Ryan hale has a YouTube channel. You both should do a special and get together and do 1 or 2 episodes!! I enjoy both you guys!! It actually makes me want to learn Mandarin as well!! Thanks for the content!! you make my day all the time!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@resetinf,"Loving these undercover videos, reactions are priceless, keep it up Xiaoma!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@polytelismedia,Such fun uplifting videos.  Just wonderful thanks so much for these.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@theodoredodge,"Xiaoma, I love all your videos.  You keep getting more and more creative.  When you post something, it's a must watch for me.  Keep up the good work.  Also, I am trying to learn Mandarin but I am a slow learner unfortunately.  ""But I will never give up.  Thanks, Tom",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@energ8t,Def some good spirited customers,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@bananasean5145,Learning a new language to have more options when leaving the US. I'll try out your app bro thanks!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@path5657,The second-hand anxiety I got from the first half of this video is CRAZY I don't know how Xioma kept it together ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Bonafidebone,Think this proves perfectly how rude they can be.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@rodjacksonx,Your videos are just.... refreshing!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@TonyGrand79,These videos are great.  Your really catching them off guard.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@derekmackenzie5118,what i would do for personal lessons from this guy in a few languages. You're epic. Please keep it up,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Theogvineofthedead,Great store and beautiful owners. Good job brother that was hilarious ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@-RONNIE,Thank you for the video it's always funny when they are shocked that you speak the language ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@rlmast,"This was a fun video! you should definitely try some more like this with other dominant Chinese or other language related restaurants or street food or market, etc.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@alanzitocardoso2074,"I'm brazilian and i watch your videos for listening practice, and now i just want to learn mandarin because their reactions ",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@joe-knowsU,On a side note if you have less hearing in one ear sometimes its wax buildup deep inside canal  over years that you can't clean by just washing normally...definitely recommend professional ear cleaning!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@WallaceLined,"Xiaoma! What a beautiful advertisement for this company. You killed this one brother, awesome watch...thank you!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@jimmyhudgins-j8x,We have crouching tiger hidden dragon got me. I love that movie actually,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@JulijanBone666,"""No more gossip!"" ",0
